date,Dengue,Zika,Chikungunya,Varicela
2017-10-30,353099.09375,74994.6484375,76665.1015625,963775.1875
2017-11-06,353223.25,75011.921875,76675.9375,965585.8125
2017-11-13,353343.5,75028.2734375,76685.3671875,967400.375
2017-11-20,353469.875,75044.859375,76695.546875,969178.375
2017-11-27,353590.15625,75061.0703125,76706.8203125,970915.3125
2017-12-04,353716.9375,75074.7734375,76717.890625,972566.4375
2017-12-11,353842.25,75087.1484375,76727.796875,974081.375
2017-12-18,353983.03125,75104.90625,76738.4296875,975450.6875
2017-12-25,354132.03125,75122.0703125,76747.8203125,976649.3125
2018-01-01,354275.53125,75137.2421875,76754.7890625,977694.0
2018-01-08,354443.15625,75156.3046875,76764.3828125,978701.125
2018-01-15,354648.5,75175.34375,76777.4921875,979729.8125
2018-01-22,354881.25,75195.9921875,76792.9140625,980788.1875
2018-01-29,355108.78125,75216.7265625,76808.0625,981885.75
2018-02-05,355340.0,75233.3359375,76822.15625,983045.375
2018-02-12,355554.8125,75249.9296875,76835.1796875,984275.1875
2018-02-19,355761.625,75268.984375,76846.125,985542.75
2018-02-26,355955.375,75292.03125,76855.6484375,986862.5625
2018-03-05,356143.625,75310.3359375,76864.0546875,988243.5
2018-03-12,356330.65625,75326.8046875,76872.984375,989732.1875
2018-03-19,356520.96875,75339.6640625,76881.65625,991307.6875
2018-03-26,356707.96875,75353.03125,76889.4765625,993004.8125
2018-04-02,356887.5,75364.0625,76896.9609375,994714.875
2018-04-09,357071.46875,75378.609375,76907.296875,996558.3125
2018-04-16,357259.21875,75392.4453125,76919.015625,998399.75
2018-04-23,357460.0,75406.5859375,76934.0390625,1000344.9375
2018-04-30,357668.4375,75417.6875,76951.2734375,1002284.0
2018-05-07,357892.5625,75429.7109375,76968.8046875,1004265.1875
2018-05-14,358125.65625,75440.90625,76983.75,1006142.0
2018-05-21,358392.71875,75451.265625,76995.421875,1008004.5625
2018-05-28,358661.65625,75461.8046875,77009.5078125,1009875.1875
2018-06-04,358973.34375,75477.328125,77023.375,1011709.0
2018-06-11,359304.84375,75491.453125,77038.7421875,1013477.3125
2018-06-18,359651.4375,75505.53125,77053.9765625,1015151.25
2018-06-25,360003.3125,75519.375,77067.4921875,1016665.5
2018-07-02,360343.375,75534.609375,77078.4609375,1018018.1875
2018-07-09,360699.71875,75552.7109375,77088.78125,1019300.3125
2018-07-16,361079.78125,75569.453125,77098.4609375,1020555.0625
2018-07-23,361496.53125,75581.671875,77106.7265625,1021766.3125
2018-07-30,361910.21875,75591.96875,77116.234375,1022965.8125
2018-08-06,362348.46875,75601.6484375,77124.7421875,1024169.5625
2018-08-13,362811.90625,75609.65625,77133.421875,1025391.3125
2018-08-20,363264.125,75614.828125,77141.1328125,1026632.0
2018-08-27,363733.09375,75621.5,77149.828125,1027902.1875
2018-09-03,364227.46875,75629.8671875,77160.5,1029223.875
2018-09-10,364708.9375,75637.625,77173.5859375,1030570.5625
2018-09-17,365197.34375,75646.859375,77186.578125,1031948.1875
2018-09-24,365697.5,75657.6484375,77202.5703125,1033361.125
2018-10-01,366210.0625,75667.1484375,77217.765625,1034814.8125
2018-10-08,366757.25,75675.296875,77230.984375,1036265.3125
2018-10-15,367333.65625,75682.2109375,77240.703125,1037694.75
2018-10-22,367979.96875,75689.3515625,77250.5703125,1039192.4375
2018-10-29,368671.8125,75695.0234375,77257.375,1040674.4375
2018-11-05,369387.25,75700.2734375,77263.6875,1042129.0625
2018-11-12,370137.90625,75704.75,77269.0703125,1043519.25
2018-11-19,370908.46875,75707.7578125,77277.8203125,1044887.4375
2018-11-26,371726.09375,75712.8515625,77286.6875,1046195.75
2018-12-03,372581.53125,75716.421875,77297.078125,1047413.8125
2018-12-10,373490.6875,75723.0234375,77306.71875,1048513.75
2018-12-17,374460.375,75732.9375,77316.328125,1049536.125
2018-12-24,375435.0625,75744.890625,77325.5546875,1050448.75
2018-12-31,376425.625,75757.2890625,77332.65625,1051264.125
2019-01-07,377471.03125,75768.3046875,77341.2890625,1052049.625
